Parc,Sub-P,NumAr,x_rev,y,x,DAP,Prod.,Ambiente,copa,Observacao
1,8,301,357,64,-43,33.8,1,Terra Firme,dominante,**
1,2,396,57,95,-43,12.2,0,Terra Firme,intermediaria,
3,6,287,257,96,-43,12.8,0,Baixio,intermediaria,
1,1,24,7,106,-43,10,0,Terra Firme,intermediaria,
4,3,59,107,108,-43,29.2,1,Terra Firme,intermediaria,
1,7,278,307,118,-43,13.3,0,Baixio,intermediaria,*
3,6,304,257,250,-43,21.5,0,Terra Firme,intermediaria,medido em cima
1,1,38,7,255,-43,56.5,1,Terra Firme,co-dominante,quebrou em cima
4,2,36,57,260,-43,24.7,1,Terra Firme,co-dominante,
3,4,199,157,264,-43,15.5,0,Baixio,suprimida,
3,3,100,107,275,-43,11.8,0,Baixio,suprimida,
3,2,77,57,300,-43,18.1,1,Baixio,intermediaria,ilha
1,1,47,7,315,-43,13.2,0,Baixio,suprimida,
3,6,286,258,94,-42,13.2,0,Baixio,suprimida,
1,6,418,258,97,-42,20.5,1,Baixio,co-dominante,
1,6,266,258,100,-42,15.2,0,Baixio,suprimida,
3,5,263,208,106,-42,19.7,0,Baixio,intermediaria,
1,1,405,8,112,-42,12.8,0,Baixio,intermediaria,
3,7,336,308,210,-42,40.6,1,Baixio,co-dominante,
3,5,233,208,253,-42,37.7,1,Transição,co-dominante,
2,7,221,308,315,-42,28.2,1,Baixio,intermediaria,cípo
2,8,241,358,320,-42,18.5,0,Terra Firme,co-dominante,
2,4,86,158,350,-42,40.5,1,Terra Firme,co-dominante,intermediaria por cípos
2,3,262,109,85,-41,23.4,0,Terra Firme,suprimida,andiroba? Não é amarga
2,3,71,109,287,-41,16.4,0,Terra Firme,intermediaria,
2,1,1,10,2,-40,26.7,1,Terra Firme,co-dominante,
3,1 ou 2,381,360,5,-40,14.5,0,Terra Firme,suprimida,
1,5,180,210,5,-40,38.1,1,Baixio,co-dominante,
3,1,7,10,10,-40,28.3,0,Baixio,dominante,quebrada e rebrotando
2,2,50,60,10,-40,31,1,Terra Firme,dominante,
1,4,363,160,12,-40,11.8,0,Baixio,suprimida,
3,1,8,10,25,-40,31,1,Baixio,co-dominante,suprimida por cípo
3,6,279,260,30,-40,23.6,1,Terra Firme,co-dominante,
"1,3,103,110,40,-40,17.1,0,Baixio,suprimida,""A352,cípo"""
3,5,269,210,47,-40,18,0,Baixio,suprimida,
1,3,102,110,50,-40,20,0,Baixio,intermediaria,
3,6,281,260,63,-40,15.4,0,Terra Firme,suprimida,
3,3,144,110,70,-40,21,1,Baixio,intermediaria,
2,4,113,160,75,-40,28.9,1,Terra Firme,co-dominante,
3,1,12,10,80,-40,44.4,1,Baixio,intermediaria,produziu muito o ano passado
2,4,112,160,85,-40,51.7,1,Terra Firme,co-dominante,
1,3,104,110,90,-40,14.7,0,Baixio,intermediaria,
1,7,276,310,90,-40,54.6,1,Baixio,co-dominante,*
2,2,43,60,95,-40,15.4,0,Terra Firme,intermediaria,suprimida por cípo
1,3,109,110,95,-40,19,0,Baixio,co-dominante,suprimida por cípo
1,3,110,110,95,-40,29,1,Baixio,dominante,árvore 353? 
1,1,23,10,100,-40,10.7,0,Terra Firme,suprimida,
1,6,265,260,100,-40,16.2,0,Baixio,co-dominante,
1,6,264,260,100,-40,18,0,Baixio,co-dominante,
1,5,193,210,100,-40,18.5,0,Baixio,intermediaria,suprimida por cípo
1,1,26,10,107,-40,15.9,0,Terra Firme,intermediaria,
1,5,364,210,115,-40,26.3,1,Baixio,intermediaria,
1,1,28,10,117,-40,23.6,1,Terra Firme,intermediaria,
1,5,192,210,120,-40,53.8,1,Baixio,dominante,
2,7,208,310,130,-40,19.3,0,Terra Firme,intermediaria,
2,2,40,60,130,-40,22.4,1,Terra Firme,co-dominante,
3,3,126,110,133,-40,10.6,0,Baixio,suprimida,
3,3,389,110,140,-40,14,0,Baixio,intermediaria,
2,2,41,60,140,-40,26.3,1,Terra Firme,co-dominante,quase dominante
2,4,102,160,150,-40,11.8,0,Terra Firme,intermediaria,
3,1,17,10,150,-40,45.5,1,Terra Firme,co-dominante,
1,6,260,260,170,-40,12.8,0,Baixio,suprimida,
1,1,39,10,170,-40,24.2,1,Terra Firme,suprimida,
1,2,76,60,173,-40,16.4,0,Terra Firme,intermediaria,
1,8,307,360,180,-40,12.8,0,Terra Firme,intermediaria,**
1,5,207,210,180,-40,39.5,1,Baixio,co-dominante,
3,7,330,310,214,-40,33.1,1,Baixio,co-dominante,suprimida por cípo
4,2,28,60,215,-40,17.7,0,Terra Firme,intermediaria,
4,2,29,60,220,-40,15.9,0,Terra Firme,suprimida,
4,6,111,260,220,-40,17.4,0,Terra Firme,suprimida,
"4,7,132,310,220,-40,24.9,1,Terra Firme,intermediaria,""cípo, quase co-dominante"""
4,2,30,60,225,-40,19.8,1,Terra Firme,intermediaria,
4,6,112,260,230,-40,14.2,0,Transição,intermediaria,
1,4,158,160,230,-40,19,1,Baixio,co-dominante,suprimida por cípo
2,8,253,360,230,-40,24.2,1,Baixio,co-dominante,suprimida pelo cípo
3,2,71,60,240,-40,10.6,0,Baixio,intermediaria,
1,5,212,210,240,-40,14.7,0,Baixio,suprimida,
2,6,167,260,240,-40,37.3,1,Terra Firme,co-dominante,
4,8,170,360,250,-40,22.8,1,Transição,intermediaria,30% luz
4,2,32,60,250,-40,41.2,1,Terra Firme,co-dominante,
1,8,320,360,253,-40,12.4,0,Baixio,suprimida,**
4,2,34,60,253,-40,32.8,1,Terra Firme,co-dominante,
2,2,35,60,255,-40,17.9,0,Terra Firme,intermediaria,
3,8,370,360,259,-40,11.6,0,Terra Firme,intermediaria,suprimida por cípo
3,4,399,160,260,-40,14.6,0,Baixio,intermediaria,
3,1,32,10,260,-40,17.5,0,Baixio,suprimida,
4,4,61,160,260,-40,19.3,1,Terra Firme,intermediaria,
4,8,160,360,260,-40,22.8,1,Transição,co-dominante,50% luz
3,1,31,10,260,-40,35.9,1,Baixio,co-dominante,suprimida por cípo
1,6,377,260,265,-40,19,0,Baixio,suprimida,
2,5,138,210,265,-40,38.5,1,Terra Firme,intermediaria,
1,8,328,360,270,-40,28,1,Baixio,co-dominante,**
2,1,12,10,270,-40,33.1,1,Terra Firme,co-dominante,
2,7,217,310,275,-40,38,1,Baixio,co-dominante,intermediaria por cípos
2,5,141,210,284,-40,23.5,1,Terra Firme,intermediaria,cípo
1,2,66,60,285,-40,23,0,Baixio,intermediaria,
1,3,137,110,285,-40,24.9,1,Baixio,intermediaria,
